n|name|sentiment_score|popularity|words|wordsSep|wordsProbabilities|topPopularityURLs|topSentimentURLs
0|topic_0|0.01561857252494244|0.002161449364712238|[('vegan', 0.068086077798751907), ('hand', 0.020709829488191549), ('eye', 0.01362790180818824), ('sun', 0.01347909196516054), ('dr', 0.011928363090907477), ('cupcake', 0.011685855588360161), ('plantbased', 0.011365487895869504), ('street', 0.0097975876316314364), ('cramp', 0.0083042582299277194), ('animal', 0.0077560741862183575)]|vegan,hand,eye,sun,dr,cupcake,plantbased,street,cramp,animal|0.0681,0.0207,0.0136,0.0135,0.0119,0.0117,0.0114,0.0098,0.0083,0.0078|bit.ly/2HMDGVs,http://www.worldpeacediet.com/favorite-links/,goo.gl/9m1QCA,goo.gl/Brf6Az,brightside.me/inspiration-health/learn-about-teas-that-are-proven-to-promote-weight-loss-541410/,www.stethnews.com/0657/this-one-ingredient-can-help-repair-your-kidney/,www.healthdigezt.com/health-beauty-benefits-offered-cashew-apple/,goo.gl/PSU93u,www.sassyhongkong.com/beauty-hairdressers-hong-kong/,www.sassyhongkong.com/whats-on-hk-lamma-island-neighbourhood-guide-eat-drink-shop/|www.sassyhongkong.com/the-best-swimwear-stores-in-hong-kong-and-online/,www.sassyhongkong.com/living-coworking-spaces-hong-kong/,www.sassyhongkong.com/travel-bangkok-foodie-guide-restaurants-street-food/,www.sassyhongkong.com/living-florists-flowers-bouquets-gifts/,brightside.me/inspiration-health/learn-about-teas-that-are-proven-to-promote-weight-loss-541410/,www.sassyhongkong.com/eat-drink-happy-hour-deals-central-district-bars-specials/,www.sassyhongkong.com/whats-on-hk-lamma-island-neighbourhood-guide-eat-drink-shop/,https://realhouse.tips/blog/post/new-era-family-health-stores/,www.sassyhongkong.com/beauty-hairdressers-hong-kong/,www.sassyhongkong.com/lifestyle-culture-art-events-exhibitions-july-2018/
1|topic_1|0.028419148119723715|0.005842296651016989|[('test', 0.052732443582145468), ('surgery', 0.029858772090443589), ('patient', 0.024184718264364729), ('will', 0.018726180698963854), ('procedure', 0.014204378735062747), ('result', 0.013991763063761582), ('disease', 0.011595834530612359), ('bowel', 0.011377742095099234), ('colon', 0.010804717507741661), ('doctor', 0.010401255495539906)]|test,surgery,patient,will,procedure,result,disease,bowel,colon,doctor|0.0527,0.0299,0.0242,0.0187,0.0142,0.014,0.0116,0.0114,0.0108,0.0104|http://www.digestivehealth.org.hk/en_us/health-check-4/,http://www.digestivehealth.org.hk/en_us/medical-news/mediated/,http://www.digestivehealth.org.hk/en_us/contact-us-2/join-research-programme/,bit.ly/2OCiwgC,http://www.digestivehealth.org.hk/en_us/about-us/background/,bit.ly/2re2JwN,http://www.digestivehealth.org.hk/en_us/risk-assessment-2/,goo.gl/EAxMD7,http://www.ncbi.nlm.nih.gov/pubmed/20363196,http://www.digestivehealth.org.hk/intestines-story/always-feel-abdominal-pain-and-urgency-this-maybe-related-to-irritable-bowel-syndrome-prof-justin-wu/|righthomeremedies.com/2018/03/04/the-most-powerful-lemon-and-garlic-mixture-to-clean-your-arteries-and-prevent-heart-attacks/,www.sassyhongkong.com/eat-drink-restaurants-taco-tuesday-mexican-deals-guide/,trib.al/ZC5MLwP,https://mrdiscountcode.hk/top-20-expats-blogs-2017/,trib.al/dgjVomd,https://realhouse.tips/real-beauty-secret-nourishing-slimming-powder.html,www.healthline.com/nutrition/cocoa-powder-nutrition-benefits,trib.al/dny6fPT,trib.al/gb8Gxqd,www.healthline.com/health/food-nutrition/anti-aging-shopping-list
2|topic_2|0.08932620874904067|0.028261927332309884|[('day', 0.021334163811783519), ('weight', 0.016887870750803197), ('eat', 0.016161213513523745), ('time', 0.01512595903395041), ('week', 0.011632845824842865), ('lose', 0.011451931406919981), ('make', 0.011043740499614848), ('start', 0.010620208049398809), ('go', 0.010352275158523766), ('work', 0.0095059217027302339)]|day,weight,eat,time,week,lose,make,start,go,work|0.0213,0.0169,0.0162,0.0151,0.0116,0.0115,0.011,0.0106,0.0104,0.0095|trib.al/f7vA39V,www.stethnews.com/0251/how-much-everyday-hair-loss-is-normal-and-how-to-stop-it-naturally/,trib.al/xLXpdZw,goo.gl/forms/8MaXwOXf0njXcLgI3,trib.al/CTNGRfY,trib.al/1FAaTEF,trib.al/AkCcYi0,trib.al/y27zyvz,www.healthdigezt.com/learn-the-key-differences-among-cardiac-arrest-heart-attack-and-stroke/,trib.al/xUqaYPB|www.sassyhongkong.com/beauty-nail-art-best-salons-manicure-pedicure/,www.sassyhongkong.com/the-best-swimwear-stores-in-hong-kong-and-online/,righthomeremedies.com/2018/01/21/kill-thyroid-forever-with-coriander-seeds-in-just-8-days/,http://www.motherearthnews.com/natural-health/natural-allergy-remedies-zmaz06aszraw.aspx,www.sassyhongkong.com/eat-drink-bars-ladies-night-deals-happy-hour-drinks/,buff.ly/2hpbRKq,http://www.nuzest.co.nz,http://www.sassyhongkong.com/influencer-that-girl-resham-daswani-founder-spiral-spaces-tea-meditation/,trib.al/P2Mx1Gi,righthomeremedies.com/2018/03/04/the-most-powerful-lemon-and-garlic-mixture-to-clean-your-arteries-and-prevent-heart-attacks/
3|topic_3|0.017682386799693018|0.0036029384685455847|[('bite', 0.025199270443098099), ('rash', 0.020215890868544865), ('tick', 0.017229677697175722), ('skin', 0.014561090642226208), ('insect', 0.010320643727578415), ('find', 0.0094980895891344386), ('plant', 0.0092150342429570403), ('bug', 0.0091936782267524747), ('home', 0.0090625211015567201), ('smoking', 0.0090005235562627319)]|bite,rash,tick,skin,insect,find,plant,bug,home,smoking|0.0252,0.0202,0.0172,0.0146,0.0103,0.0095,0.0092,0.0092,0.0091,0.009|trib.al/k9KXSCf,trib.al/8DtCU0Q,trib.al/h0N8f0r,tools.acc.org/ascvd-risk-estimator-plus,trib.al/tfx0Eto,http://www.homeecology.net/aquarium-garden/,trib.al/7RJJdie,jmsc.hku.hk/2018/02/afp-hosts-talk-on-evolving-ethical-concerns-for-journalists-today/,trib.al/r3FEW02,goo.gl/76pf8Z|www.sassyhongkong.com/beauty-nail-art-best-salons-manicure-pedicure/,www.sassyhongkong.com/eat-drink-bars-hidden-speakeasy-nightlife-clubs/,https://mrdiscountcode.hk/top-20-technology-blogs/,trib.al/P2Mx1Gi,trib.al/7RJJdie,goo.gl/vvvGvT,www.sassyhongkong.com/eat-drink-whats-new-852-dining-promotions-deals-restaurants-gaucho-sunday-roast-le-garcon-saigon/,https://www.facebook.com/CignaHK/posts?__xts__%5B0%5D=33.%7B%22logging_data%22%3A%7B%22page_id%22%3A174093506264282%2C%22event_type%22%3A%22clicked_all_page_posts%22%2C%22impression_info%22%3A%22eyJmIjp7InBhZ2VfaWQiOiIxNzQwOTM1MDYyNjQyODIiLCJpdGVtX2NvdW50IjoiMCJ9fQ%22%2C%22surface%22%3A%22www_pages_home%22%2C%22interacted_story_type%22%3A%22565413710334575%22%2C%22session_id%22%3A%22dc0b87ca6dff495a5971037a4586896a%22%7D%7D,trib.al/k9KXSCf,trib.al/x3txZSd
4|topic_4|0.028315502686108978|0.006279102004011336|[('yoga', 0.086903304783144439), ('fitness', 0.051177859949481416), ('class', 0.034204243889835985), ('will', 0.01811351751516661), ('learn', 0.012010750510103944), ('training', 0.012008534928070592), ('people', 0.011759177266841407), ('cardio', 0.0113792016189868), ('gym', 0.011378121079025074), ('provide', 0.011218883658982772)]|yoga,fitness,class,will,learn,training,people,cardio,gym,provide|0.0869,0.0512,0.0342,0.0181,0.012,0.012,0.0118,0.0114,0.0114,0.0112|http://tranceformfitness.com/about-tranceform-fitness/,http://tranceformfitness.com/contact-tranceform-fitness/,http://tranceformfitness.com/fitness-trainer/,http://tranceformfitness.com/tranceform-fitness-gallery/,http://tranceformfitness.com/memberships/,http://tranceformfitness.com/2017/09/15/zumba-classes/,http://tranceformfitness.com/yearly-membership/,http://tranceformfitness.com/student-membership/,http://tranceformfitness.com/2017/09/29/things-one-should-never-do-at-the-gym/,http://tranceformfitness.com/membership/|www.sassyhongkong.com/travel-destinations-mother-daughter-getaway-trips/,www.sassyhongkong.com/eat-drink-new-brunches-under-500-hong-kong/,http://www.balancehealth.com.hk/horizen-journey-inward-2/,https://www.facebook.com/BalanceHealthHK/posts?__xts__%5B0%5D=33.%7B%22logging_data%22%3A%7B%22page_id%22%3A1405468833008207%2C%22event_type%22%3A%22clicked_all_page_posts%22%2C%22impression_info%22%3A%22eyJmIjp7InBhZ2VfaWQiOiIxNDA1NDY4ODMzMDA4MjA3IiwiaXRlbV9jb3VudCI6IjAifX0%22%2C%22surface%22%3A%22www_pages_home%22%2C%22interacted_story_type%22%3A%22565413710334575%22%2C%22session_id%22%3A%22dc0b87ca6dff495a5971037a4586896a%22%7D%7D,www.sassyhongkong.com/style-lingerie-stores-shopping-underwear/,http://www.balancehealth.com.hk/5-natural-ways-to-beat-jet-lag/,www.sassyhongkong.com/lifestyle-successful-women-morning-routines/,www.everydayhealth.com/diet-nutrition/diet/every-bun-alternative-your-burger,www.sassyhongkong.com/health-diet-registered-dietitian-restaurants-eating-out/,http://www.balancehealth.com.hk/optimize-your-health/
5|topic_5|0.027008787413660782|0.0046515835015883775|[('hair', 0.02250720414178415), ('thyroid', 0.022291973071771942), ('loss', 0.011546397289815727), ('treatment', 0.010539316112926246), ('use', 0.0096668202296901762), ('gland', 0.0093960461970073565), ('cause', 0.0092264459405579594), ('hearing', 0.0089284262502133463), ('hormone', 0.0073501854771908107), ('sign', 0.006707432099854015)]|hair,thyroid,loss,treatment,use,gland,cause,hearing,hormone,sign|0.0225,0.0223,0.0115,0.0105,0.0097,0.0094,0.0092,0.0089,0.0074,0.0067|www.sassyhongkong.com/eatdrink-cheap-lunch-sheung-wan/,https://www.sassyhongkong.com/best-hair-tips-how-to-manage-your-hair-in-hong-kongs-humidity-beauty/,righthomeremedies.com/anemia-symptoms-10-best-home-remedies-for-anemia/,news.mb.com.ph/2018/05/08/time-for-action-to-stop-the-deadliest-diseases-in-the-philippines/,https://www.homeopathic.com/Articles/Homeopathic_research/The_Homeopathic_Treatment_of_Asthma_A_Breath.html,trib.al/Hp9PscG,trib.al/96s1OCl,http://www.balancehealth.com.hk/about-us/testimonials/,bit.ly/2JN8ZQh,cnn.it/2M6WnbD|www.sassyhongkong.com/eatdrink-cheap-lunch-sheung-wan/,www.sassyhongkong.com/whats-on-hk-staycation-summer-hong-kong-hotel-deals/,www.sassyhongkong.com/eat-drink-happy-hour-deals-causeway-bay-district-bars-specials/,http://www.balancehealth.com.hk/5-natural-ways-to-beat-jet-lag/,http://www.balancehealth.com.hk/about-us/testimonials/,www.sassyhongkong.com/eat-drink-whats-new-852-dining-promotions-deals-restaurants-mercedes-me-jinjuu-brunch/,www.sassyhongkong.com/weddings-semi-formal-dresses-hong-kong/,trib.al/MhSj899,http://www.nuzest.hk/blog/transform-stress-using-food-nutrition/,trib.al/2dYSmr9
6|topic_6|0.014912010744435917|0.00426340949731086|[('design', 0.01792093487272451), ('interior', 0.016434743938126772), ('duff', 0.016391461007563623), ('body', 0.015496791520977188), ('space', 0.010708995683633888), ('liquid', 0.009268058548463359), ('work', 0.0086425276435559868), ('sweat', 0.008547156928850828), ('desk', 0.0079384152830157904), ('use', 0.0077553003452687352)]|design,interior,duff,body,space,liquid,work,sweat,desk,use|0.0179,0.0164,0.0164,0.0155,0.0107,0.0093,0.0086,0.0085,0.0079,0.0078|http://www.liquid-interiors.com/about/,http://www.liquid-interiors.com/sustainability/,goo.gl/Jgh7AP,jmsc.hku.hk/2018/02/jmsc-students-broaden-their-skills-cultural-horizons-with-winter-internships/,https://www.facebook.com/scmp/?ref=py_c,bit.ly/2MSJLm4,www.everydayhealth.com/lung-cancer/does-taking-b-vitamins-increase-your-risk-lung-cancer,www.everydayhealth.com/lung-cancer/living-with/finding-support-online-when-you-have-lung-cancer,http://www.liquid-interiors.com/residential-wellness-design/,trib.al/UTPz5ga|www.sassyhongkong.com/living-neigbourhood-guide-sai-ying-pun/,www.sassyhongkong.com/eat-drink-guide-aperol-spritz-pub-bar-crawl-cocktail/,bit.ly/2NKrlTZ,http://www.liquid-interiors.com/about/,www.sassyhongkong.com/beauty-natural-skincare-organic-cream-oil-mask-product/,http://hyy.com.hk/about-traditional-chinese-medicine/about-im-yunity-chinese-medicine/,http://hyy.com.hk/about-traditional-chinese-medicine/about-im-yunity-too-chinese-medicine/,http://www.nuzest.hk/blog/transform-stress-using-food-nutrition/,http://www.nuzest.hk/blog/save-yourself-from-being-tired-all-the-time/,jmsc.hku.hk/2018/07/sida-wang-named-2018-mick-deane-scholarship-winner/
7|topic_7|0.07793860322333078|0.0252217748718511|[('diet', 0.023598066616049396), ('fat', 0.022546988667057604), ('body', 0.022228746094779359), ('food', 0.016936677127426827), ('weight', 0.016804077045623748), ('eat', 0.01507676507108642), ('health', 0.013312149901260459), ('sugar', 0.011960965648254352), ('help', 0.010913745524753143), ('high', 0.0096669850875642366)]|diet,fat,body,food,weight,eat,health,sugar,help,high|0.0236,0.0225,0.0222,0.0169,0.0168,0.0151,0.0133,0.012,0.0109,0.0097|www.stethnews.com/0201/the-nutritional-benefits-of-papaya-seeds/,goo.gl/3E5gVV,trib.al/k6qMTEx,trib.al/1TMcmZ9,goo.gl/PwEQxj,righthomeremedies.com/miracle-bed-time-drink-that-kills-belly-fat-in-a-week/,http://tranceformfitness.com/2017/10/11/diet-weight-fat-loss/,trib.al/Lr4QiMh,brightside.me/inspiration-health/5-things-you-use-every-day-that-can-harm-your-health-372860/,trib.al/lzAP6lw|righthomeremedies.com/2018/01/21/kill-thyroid-forever-with-coriander-seeds-in-just-8-days/,righthomeremedies.com/how-to-whiten-yellow-teeth-naturally-at-home-in-2-minutes/,www.sassyhongkong.com/the-best-swimwear-stores-in-hong-kong-and-online/,trib.al/9blaJgV,www.healthline.com/nutrition/9-foods-to-help-you-sleep,righthomeremedies.com/2018/03/04/the-most-powerful-lemon-and-garlic-mixture-to-clean-your-arteries-and-prevent-heart-attacks/,righthomeremedies.com/eye-bags-causes-how-to-remove-eye-bags-permanently/,www.healthline.com/health/fruit-combos-for-breakfast,https://realhouse.tips/real-beauty-skin.html,https://realhouse.tips/real-beauty-eternity.html
8|topic_8|0.01432716807367613|0.0029937546578069157|[('chocolate', 0.042790515432168989), ('color', 0.01915567233281457), ('road', 0.01664308645705901), ('dark', 0.014278215775484373), ('brown', 0.013387028187265648), ('cabbage', 0.013208403683710504), ('look', 0.01313727583284852), ('soup', 0.010217346122736736), ('safety', 0.0092579075787663674), ('traffic', 0.0090606101467106837)]|chocolate,color,road,dark,brown,cabbage,look,soup,safety,traffic|0.0428,0.0192,0.0166,0.0143,0.0134,0.0132,0.0131,0.0102,0.0093,0.0091|bit.ly/2x0wLSk,trib.al/Z6nkjTr,bit.ly/2rv1xTx,bit.ly/mencorrector,https://www.highedu.kyoto-u.ac.jp/connect/en/,trib.al/fD6toM7,trib.al/2T9e0HN,trib.al/kRzQyW0,trib.al/EBer9Mh,trib.al/ZMIAhgx|www.sassyhongkong.com/eat-drink-best-egg-tarts-desserts-local-bakery-sweet-treat-portugese-pastry/,trib.al/P2Mx1Gi,www.sassyhongkong.com/eat-drink-vegetarian-vegan-burgers-food/,bit.ly/2NKrlTZ,righthomeremedies.com/how-to-get-rid-of-dark-neck-with-10-home-remedies/,www.sassyhongkong.com/eat-drink-chifa-peruvian-chinese-restaurant-peel-street/,india.curejoy.com/content/honey-for-weight-loss/,www.sassyhongkong.com/beauty-best-brow-services-hong-kong/,https://gifthampers.com.hk/ghen/chinese-new-year,india.curejoy.com/content/health-benefits-of-cinnamon/
9|topic_9|0.020458250191864927|0.0033139139060905528|[('allergy', 0.044699684243809767), ('honey', 0.026746197902147068), ('asthma', 0.018554600549603964), ('use', 0.01648300896759803), ('treatment', 0.011763804992677186), ('parsley', 0.010353984724684925), ('al', 0.0087555961114656779), ('acupuncture', 0.0085648517291077204), ('moringa', 0.0084606734474174331), ('et', 0.007197198877189879)]|allergy,honey,asthma,use,treatment,parsley,al,acupuncture,moringa,et|0.0447,0.0267,0.0186,0.0165,0.0118,0.0104,0.0088,0.0086,0.0085,0.0072|http://www.acupuncture.org.uk/arrc/public-review-papers/bronchial-asthma-and-acupuncture-the-evidence-for-effectiveness.html,www.wellnessbin.com/how-to-fully-conceal-acne-marks-and-dark-circles/,https://realhouse.tips/blog/post/the-many-health-benefits-of-ra/,https://tl.hku.hk/common-core-distinguished-lecture-5-by-professor-david-held/,http://www.aafa.org/display.cfm?id=9&sub=30,http://www.webmd.com/vitamins-and-supplements/lifestyle-guide-11/allergies-allergy,http://www.motherearthnews.com/natural-health/natural-allergy-remedies-zmaz06aszraw.aspx,uni.cf/vaccineswork,http://www.scmp.com/lifestyle/health-beauty/article/2074400/does-traditional-chinese-medicine-have-role-helping-patients?utm_medium=partner&utm_campaign=contentexchange&utm_source=thestreet,https://www.edx.org/school/kyotoux|http://www.motherearthnews.com/natural-health/natural-allergy-remedies-zmaz06aszraw.aspx,righthomeremedies.com/eye-bags-causes-how-to-remove-eye-bags-permanently/,trib.al/L3naPGt,india.curejoy.com/content/honey-for-weight-loss/,http://www.nuzest.hk/blog/transform-stress-using-food-nutrition/,righthomeremedies.com/parsley-leaves-benefits-and-uses-of-parsley-leaves/,http://www.acupuncture.org.uk/arrc/public-review-papers/bronchial-asthma-and-acupuncture-the-evidence-for-effectiveness.html,bit.ly/2AtjAMP,www.1mhealthtips.com/7-all-natural-skin-moisturizer-you-can-find-in-the-kitchen/,https://realhouse.tips/real-unique-eye-protection-formula.html
